split_id,train_start,train_end,purge_days,embargo_days,test_start,test_end,train_days,test_days
0,2010-01-04,2013-01-18,20,20,2013-03-18,2014-03-25,756,252
1,2010-07-06,2013-07-22,20,20,2013-09-20,2014-09-29,756,252
2,2011-01-04,2014-01-24,20,20,2014-03-26,2015-04-13,756,252
3,2011-07-06,2014-07-31,20,20,2014-09-30,2015-10-13,756,252
4,2012-01-11,2015-02-10,20,20,2015-04-15,2016-04-22,756,252
5,2012-07-13,2015-08-13,20,20,2015-10-14,2016-10-25,756,252
6,2013-01-21,2016-02-18,20,20,2016-04-25,2017-04-28,756,252
7,2013-07-23,2016-08-24,20,20,2016-10-26,2017-10-31,756,252
8,2014-01-27,2017-02-28,20,20,2017-05-02,2018-05-04,756,252
9,2014-08-01,2017-09-01,20,20,2017-11-01,2018-11-06,756,252
10,2015-02-11,2018-03-06,20,20,2018-05-07,2019-05-16,756,252
11,2015-08-14,2018-09-05,20,20,2018-11-07,2019-11-21,756,252
12,2016-02-19,2019-03-13,20,20,2019-05-17,2020-05-28,756,252
13,2016-08-25,2019-09-20,20,20,2019-11-22,2020-11-23,756,252
14,2017-03-01,2020-03-25,20,20,2020-05-29,2021-05-31,756,252
15,2017-09-04,2020-09-25,20,20,2020-11-24,2021-12-01,756,252
16,2018-03-07,2021-03-30,20,20,2021-06-01,2022-06-03,756,252
17,2018-09-06,2021-10-01,20,20,2021-12-02,2022-12-06,756,252
18,2019-03-14,2022-04-05,20,20,2022-06-06,2023-06-09,756,252
19,2019-09-23,2022-10-07,20,20,2022-12-07,2023-12-13,756,252
20,2020-03-26,2023-04-12,20,20,2023-06-12,2024-06-21,756,252
21,2020-09-28,2023-10-13,20,20,2023-12-14,2024-12-23,756,252
22,2021-03-31,2024-04-23,20,20,2024-06-24,2025-06-26,756,252
23,2021-10-04,2024-10-24,20,20,2024-12-24,2025-12-29,756,252
